a0,b0,b1,b2,b3,b4,b5,b6
[127.0.1.1],mail,PIPELINING,AUTH LOGIN PLAIN ,AUTH=LOGIN PLAIN,coremail 1Uxr2xKj7kG0xkI17xGrU7I0s8FY2U3Uj8Cz28x1UUUUU7Ic2I0Y2UF-tNUAUCa0xDrUUUUj,STARTTLS,8BITMIME
[127.0.1.1],mail,PIPELINING,AUTH LOGIN PLAIN ,AUTH=LOGIN PLAIN,coremail 1Uxr2xKj7kG0xkI17xGrU7I0s8FY2U3Uj8Cz28x1UUUUU7Ic2I0Y2UFM9zLKUCa0xDrUUUUj,STARTTLS,8BITMIME
[127.0.1.1],mail,PIPELINING,AUTH LOGIN PLAIN ,AUTH=LOGIN PLAIN,coremail 1Uxr2xKj7kG0xkI17xGrU7I0s8FY2U3Uj8Cz28x1UUUUU7Ic2I0Y2UF_JXraUCa0xDrUUUUj,STARTTLS,8BITMIME
[127.0.1.1],mail,PIPELINING,AUTH LOGIN PLAIN ,AUTH=LOGIN PLAIN,coremail 1Uxr2xKj7kG0xkI17xGrU7I0s8FY2U3Uj8Cz28x1UUUUU7Ic2I0Y2UrhGQ-MUCa0xDrUUUUj,STARTTLS,8BITMIME
[127.0.1.1],mail,PIPELINING,AUTH LOGIN PLAIN ,AUTH=LOGIN PLAIN,coremail 1Uxr2xKj7kG0xkI17xGrU7I0s8FY2U3Uj8Cz28x1UUUUU7Ic2I0Y2UFCKYTSUCa0xDrUUUUj,STARTTLS,8BITMIME
[127.0.1.1],mail,PIPELINING,AUTH LOGIN PLAIN ,AUTH=LOGIN PLAIN,coremail 1Uxr2xKj7kG0xkI17xGrU7I0s8FY2U3Uj8Cz28x1UUUUU7Ic2I0Y2UFzM3XlUCa0xDrUUUUj,STARTTLS,8BITMIME
[127.0.1.1],mail,PIPELINING,AUTH LOGIN PLAIN ,AUTH=LOGIN PLAIN,coremail 1Uxr2xKj7kG0xkI17xGrU7I0s8FY2U3Uj8Cz28x1UUUUU7Ic2I0Y2UrvCjgXUCa0xDrUUUUj,STARTTLS,8BITMIME
[127.0.1.1],mail,PIPELINING,AUTH LOGIN PLAIN ,AUTH=LOGIN PLAIN,coremail 1Uxr2xKj7kG0xkI17xGrU7I0s8FY2U3Uj8Cz28x1UUUUU7Ic2I0Y2UFcs5EKUCa0xDrUUUUj,STARTTLS,8BITMIME
[127.0.1.1],mail,PIPELINING,AUTH LOGIN PLAIN ,AUTH=LOGIN PLAIN,coremail 1Uxr2xKj7kG0xkI17xGrU7I0s8FY2U3Uj8Cz28x1UUUUU7Ic2I0Y2UruzKt3UCa0xDrUUUUj,STARTTLS,8BITMIME
[127.0.1.1],mail,PIPELINING,AUTH LOGIN PLAIN ,AUTH=LOGIN PLAIN,coremail 1Uxr2xKj7kG0xkI17xGrU7I0s8FY2U3Uj8Cz28x1UUUUU7Ic2I0Y2Ur9vwbRUCa0xDrUUUUj,STARTTLS,8BITMIME
[127.0.1.1],mail,PIPELINING,AUTH LOGIN PLAIN ,AUTH=LOGIN PLAIN,coremail 1Uxr2xKj7kG0xkI17xGrU7I0s8FY2U3Uj8Cz28x1UUUUU7Ic2I0Y2UFO_DLRUCa0xDrUUUUj,STARTTLS,8BITMIME
[127.0.1.1],mail,PIPELINING,AUTH LOGIN PLAIN ,AUTH=LOGIN PLAIN,coremail 1Uxr2xKj7kG0xkI17xGrU7I0s8FY2U3Uj8Cz28x1UUUUU7Ic2I0Y2UFAkpJ9UCa0xDrUUUUj,STARTTLS,8BITMIME
[127.0.1.1],mail,PIPELINING,AUTH LOGIN PLAIN ,AUTH=LOGIN PLAIN,coremail 1Uxr2xKj7kG0xkI17xGrU7I0s8FY2U3Uj8Cz28x1UUUUU7Ic2I0Y2UrPZ5hMUCa0xDrUUUUj,STARTTLS,8BITMIME
[127.0.1.1],mail,PIPELINING,AUTH LOGIN PLAIN ,AUTH=LOGIN PLAIN,coremail 1Uxr2xKj7kG0xkI17xGrU7I0s8FY2U3Uj8Cz28x1UUUUU7Ic2I0Y2UF5ZCmlUCa0xDrUUUUj,STARTTLS,8BITMIME
[127.0.1.1],mail,PIPELINING,AUTH LOGIN PLAIN ,AUTH=LOGIN PLAIN,coremail 1Uxr2xKj7kG0xkI17xGrU7I0s8FY2U3Uj8Cz28x1UUUUU7Ic2I0Y2UF2Jt1RUCa0xDrUUUUj,STARTTLS,8BITMIME
